"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","LVMH","MC.PA","416231438735","833.206","France"
"2","Hermès","RMS.PA","251414007125","2400.52","France"
"3","Inditex","IDEXY","154657325056","24.84","Spain"
"4","Nike","NKE","146528665600","97.08","United States"
"5","Dior","CDI.PA","142688529275","790.908","France"
"6","TJX Companies","TJX","122056204288","108","United States"
"7","Fast Retailing","9983.T","80968615322","263.99","Japan"
"8","Cintas","CTAS","69282996224","682.84","United States"
"9","Ross Stores","ROST","48414978048","144.39","United States"
"10","Adidas","ADS.DE","44924350193","251.608","Germany"
"11","Kering","KER.PA","44214442350","360.678","France"
"12","lululemon athletica","LULU","41103159296","328.82","Canada"
"13","H&amp;M","HM-B.ST","29020709277","18.0192","Sweden"
"14","Prada","1913.HK","21416929593","8.36985","Italy"
"15","Moncler","MONC.MI","18164413719","67.1972","Italy"
"16","Next plc","NXT.L","15096806926","119.077","United Kingdom"
"17","Burlington Stores","BURL","14661471232","229.71","United States"
"18","Ralph Lauren","RL","11346080768","181.51","United States"
"19","Tapestry","TPR","10007762944","43.555","United States"
"20","Gap Inc.","GPS","9695481856","25.85","United States"
"21","Levi Strauss","LEVI","9385523200","23.58","United States"
"22","Abercrombie &amp; Fitch","ANF","8971910144","175.58","United States"
"23","JD Sports Fashion","JD.L","8330567983","1.60724","United Kingdom"
"24","LPP SA","LPP.WA","8220596287","4431.13","Poland"
"25","PUMA","PUM.DE","7783837262","51.9459","Germany"
"26","Brunello Cucinelli","BC.MI","7004950354","103.02","Italy"
"27","Phillips-Van Heusen","PVH","6827889152","120.61","United States"
"28","Zalando","ZAL.DE","6696277929","25.7059","Germany"
"29","Bosideng","3998.HK","6501446991","0.592998","Hong Kong"
"30","Gildan","GIL","6478913536","38.43","Canada"
"31","VF Corporation","VFC","5263585792","13.535","United States"
"32","Page Industries","PAGEIND.NS","5130017039","459.93","India"
"33","Columbia Sportswear","COLM","4898423296","82.85","United States"
