 36,48820000 VES
 36,47870000 VES
 36,47870000 VES
 36,47870000 VES
 36,45000000 VES
 36,45000000 VES
 36,43850000 VES
 36,44970000 VES
 36,42960000 VES
 36,41760000 VES
 36,41760000 VES
 36,41760000 VES
 36,41760000 VES
 36,39390000 VES
 36,38310000 VES
 36,37890000 VES
 36,37250000 VES
 36,37250000 VES
 36,37250000 VES
 36,37250000 VES
 36,36550000 VES
 36,38230000 VES
 36,40850000 VES
 36,44620000 VES
 36,44620000 VES
 36,44620000 VES
2024-07-02, 36,45510000 VES
2024-07-02, 36,46720000 VES
2024-07-03, 36,47790000 VES
2024-07-04, 36,51230000 VES
2024-07-05, 36,51230000 VES
2024-07-06, 36,51230000 VES
2024-07-07, 36,51230000 VES
2024-07-08, 36,48880000 VES
2024-07-09, 36,50560000 VES
2024-07-10, 36,51340000 VES
2024-07-11, 36,53030000 VES
2024-07-12, 36,52430000 VES
2024-07-13, 36,52430000 VES
